phiX	phiM	dStar	exit	abortline	class
500	6000	82803	3	109	ELLIPSE
500	6000	82804	3	173	INFEASIBLE
500	6000	82805	3	173	INFEASIBLE
500	6000	109768	3	173	INFEASIBLE
500	6000	109770	3	173	INFEASIBLE
500	6000	200000	3	173	INFEASIBLE
500	6000	300000	3	173	INFEASIBLE
500	6000	400000	3	173	INFEASIBLE
500	6000	450000	3	173	INFEASIBLE
500	6000	480000	3	173	INFEASIBLE
500	6000	490000	0	none	SOLVED
500	6000	492000	0	none	SOLVED
500	6000	495000	0	none	SOLVED
500	6000	495952	0	none	SOLVED
500	6000	495954	0	none	SOLVED
500	6000	497000	3	173	INFEASIBLE
500	6000	497971	3	173	INFEASIBLE
500	6000	499000	3	173	INFEASIBLE
100	900	82803	3	109	ELLIPSE
100	900	82804	3	109	ELLIPSE
100	900	82805	3	109	ELLIPSE
100	900	109768	3	109	ELLIPSE
100	900	109770	3	173	INFEASIBLE
100	900	200000	3	173	INFEASIBLE
100	900	300000	3	173	INFEASIBLE
100	900	400000	3	173	INFEASIBLE
100	900	450000	3	173	INFEASIBLE
100	900	480000	3	173	INFEASIBLE
100	900	490000	0	none	SOLVED
100	900	492000	0	none	SOLVED
100	900	495000	0	none	SOLVED
100	900	495952	3	173	INFEASIBLE
100	900	495954	0	none	SOLVED
100	900	497000	0	none	SOLVED
100	900	497971	3	173	INFEASIBLE
100	900	499000	3	173	INFEASIBLE
1000	3000	82803	3	109	ELLIPSE
1000	3000	82804	3	109	ELLIPSE
1000	3000	82805	3	109	ELLIPSE
1000	3000	109768	3	109	ELLIPSE
1000	3000	109770	3	109	ELLIPSE
1000	3000	200000	3	109	ELLIPSE
1000	3000	300000	3	109	ELLIPSE
1000	3000	400000	3	173	INFEASIBLE
1000	3000	450000	3	173	INFEASIBLE
1000	3000	480000	3	173	INFEASIBLE
1000	3000	490000	0	none	SOLVED
1000	3000	492000	0	none	SOLVED
1000	3000	495000	0	none	SOLVED
1000	3000	495952	0	none	SOLVED
1000	3000	495954	3	173	INFEASIBLE
1000	3000	497000	0	none	SOLVED
1000	3000	497971	3	173	INFEASIBLE
1000	3000	499000	3	173	INFEASIBLE
700	800	82803	3	109	ELLIPSE
700	800	82804	3	109	ELLIPSE
700	800	82805	3	109	ELLIPSE
700	800	109768	3	109	ELLIPSE
700	800	109770	3	109	ELLIPSE
700	800	200000	3	109	ELLIPSE
700	800	300000	3	109	ELLIPSE
700	800	400000	3	109	ELLIPSE
700	800	450000	3	109	ELLIPSE
700	800	480000	3	109	ELLIPSE
700	800	490000	3	109	ELLIPSE
700	800	492000	3	109	ELLIPSE
700	800	495000	3	109	ELLIPSE
700	800	495952	3	109	ELLIPSE
700	800	495954	3	173	INFEASIBLE
700	800	497000	0	none	SOLVED
700	800	497971	0	none	SOLVED
700	800	499000	3	173	INFEASIBLE
DONE
