token_id,leg_index,strike,width,token_type,is_long,option_ratio,tick_lower,tick_upper,chunk_matched,net_liquidity,total_liquidity,position_size,epoch_mint,epoch_burn
85987442074312111046374787509641907306580446218,0,-199920,240,1,0,1,-201120,-198720,1,761939137362,0,1.0e15,20536,20539
85987442074312111046374787509641907306580446218,1,-198960,240,0,0,1,-200160,-197760,1,797011231926,0,1.0e15,20536,20539
305488671002481536027468369529866,0,-200160,240,1,0,1,-201360,-198960,1,750599162740,0,1.0e15,20538,20539
85987406349980496331175231772960871807994858506,0,-197280,240,0,0,1,-198480,-196080,1,866848804002,0,1.0e15,20539,20539
85987406349980496331175231772960871807994858506,1,-200640,240,0,0,1,-201840,-199440,1,732800115640,0,1.0e15,20539,20539
85987421664016235768991544904585048092953840650,0,-199920,240,1,1,1,-201120,-198720,1,761939137362,0,1.0e12,20540,20566
85987421664016235768991544904585048092953840650,1,-199920,240,0,1,1,-201120,-198720,1,2278980472,0,1.0e12,20540,20566
305488695927131832613455807417354,0,-199830,240,0,0,1,-201030,-198630,1,7630861590,0,1.0e13,20550,20578
305488797934970229080662068464650,0,-198480,240,0,1,1,-199680,-197280,1,3061387157003,10204623856669,1.0e15,20578,20587
305488725394698685720041940880394,0,-199440,240,0,0,1,-200640,-198240,1,7781116098,0,1.0e13,20549,20587
85987420383974868125161971211426355718277073930,0,-197460,240,0,0,1,-198660,-196260,1,3229869598,0,10000.0,20584,20587
85987420383974868125161971211426355718277073930,1,-199980,240,1,0,1,-201180,-198780,1,3663560412,0,10000.0,20584,20587
171622313847804664062707064823821437228393466890,0,-198480,480,1,0,1,-200880,-196080,1,16963744426,0,100000.0,20578,20587
171622313847804664062707064823821437228393466890,1,-198480,480,0,0,1,-200880,-196080,1,16963744426,0,100000.0,20578,20587
85987421666674691760561367205659696474224102410,0,-199920,240,0,1,1,-201120,-198720,1,2278980472,0,6.0e12,20538,20587
85987421666674691760561367205659696474224102410,1,-199920,240,1,1,1,-201120,-198720,1,761939137362,0,6.0e12,20538,20587
85987421660028551781636802008240109781758020618,0,-199920,240,0,0,1,-201120,-198720,1,2278980472,0,1.0e13,20538,20587
85987421660028551781636802008240109781758020618,1,-199920,240,1,0,1,-201120,-198720,1,761939137362,0,1.0e13,20538,20587
13928862940073023893129294023690,0,-202410,10,0,1,1,-202460,-202360,1,33314192542,49971288811,2.068262194104e12,20618,20622
13928862935350657410259648809994,0,-202410,10,0,0,1,-202460,-202360,1,33314192542,49971288811,4.136524388208e12,20618,20622
13928885602709775184556674550794,0,-202110,10,0,0,1,-202160,-202060,1,33817646724,0,2.068262194104e12,20618,20622
13928930946891190442963726011402,0,-201510,10,1,0,1,-201560,-201460,1,34208989172,28491661,3600.0,20618,20622
13928953618972674700130396965898,0,-201210,10,1,1,1,-201260,-201160,1,33680997284,50521495924,3600.0,20618,20622
13928953614250308217260751752202,0,-201210,10,1,0,1,-201260,-201160,1,33680997284,50521495924,7200.0,20618,20622
305488578812443057446254507756554,0,-201380,240,0,0,1,-202580,-200180,1,706183289774,0,1.0e15,20607,20622
13928921124368906074101681523722,0,-201640,10,1,0,1,-201690,-201590,1,2016302087710,-1007945522116,105486.0,20623,20624
13928921124368906074101681523722,0,-201640,10,1,0,1,-201690,-201590,1,2016302087710,-1007945522116,105443.0,20624,20625
13928891647338873257702548081674,0,-202030,10,0,0,1,-202080,-201980,1,1025006006798,0,6.2438366118012e13,20627,20627
13928867473544847447988699171850,0,-202350,10,0,1,1,-202400,-202300,1,2994984784094,3000155858145,6.2582988562673e13,20627,20627
13928867468822480965119053958154,0,-202350,10,0,0,1,-202400,-202300,1,2994984784094,3000155858145,1.25165977125346e14,20627,20627
13928890136181598739416079698954,0,-202050,10,0,0,1,-202100,-202000,1,3040245902622,-1009915820280,6.2582988562673e13,20627,20627
13928881069237951629697269402634,0,-202170,10,0,0,1,-202220,-202120,1,3128051063220,-891821813340,6.5198804614333e13,20627,20627
13928847828500278710264610196490,0,-202610,10,0,1,1,-202660,-202560,1,1106760672636,1660141008952,6.9402121839993e13,20627,20629
13928847823777912227394964982794,0,-202610,10,0,0,1,-202660,-202560,1,1106760672636,1660141008952,1.38804243679986e14,20627,20629
13928870491137030001691990723594,0,-202310,10,0,0,1,-202360,-202260,1,1123486375636,0,6.9402121839993e13,20627,20629
13928819111789696379952065711114,0,-202990,10,0,0,1,-203040,-202940,1,88744662612,0,5.671689603391e12,20629,20636
13928864455971111638359117171722,0,-202390,10,1,0,1,-202440,-202340,1,109605142966,0,11044.0,20629,20636
13928856890721559337113775279114,0,-202490,10,0,0,1,-202540,-202440,1,77778732180,0,4.848129957601e12,20636,20636
13928865211549748897502351363082,0,-202380,10,1,0,1,-202430,-202330,1,32744089812,0,3301.0,20636,20636
13928877305530311526663743638538,0,-202220,10,1,1,1,-202270,-202170,1,32483195110,48724792665,3301.0,20636,20636
13928877300807945043794098424842,0,-202220,10,1,0,1,-202270,-202170,1,32483195110,48724792665,6602.0,20636,20636
13928893158496147775989016464394,0,-202010,10,0,0,1,-202060,-201960,1,82222322486,15895364775,4.358710088422e12,20636,20636
13928901479324337336377592548362,0,-201900,10,1,0,1,-201950,-201850,1,9558329654,0,987.0,20636,20636
13928896945852513781518187400202,0,-201960,10,1,0,1,-202010,-201910,1,2855715906,0,294.0,20636,20636
13928893914074785035132250655754,0,-202000,10,0,0,1,-202050,-201950,1,58048913770,0,3.530756829432e12,20636,20636
13928902234902974595520826739722,0,-201890,10,1,0,1,-201940,-201840,1,1084090996,-241984596,25.0,20636,20636
13928894669653422294275484847114,0,-201990,10,0,0,1,-202040,-201940,1,141669358780,-89395870290,2.574403749346e12,20636,20636
13928902234902974595520826739722,0,-201890,10,1,0,1,-201940,-201840,1,1084090996,-241984596,25.0,20636,20636
13928894669653422294275484847114,0,-201990,10,0,0,1,-202040,-201940,1,141669358780,-89395870290,2.574403749346e12,20636,20636
13928902990481611854664060931082,0,-201880,10,1,0,1,-201930,-201830,1,77396362,-9674544,1.0,20636,20636
13928894669653422294275484847114,0,-201990,10,0,0,1,-202040,-201940,1,141669358780,-89395870290,2.574403749346e12,20636,20636
13928902990481611854664060931082,0,-201880,10,1,0,1,-201930,-201830,1,77396362,-9674544,1.0,20636,20636
13928896180810696812561953229834,0,-201970,10,0,0,1,-202020,-201920,1,35969195326,7312635034,1.621964437114e12,20636,20637
13928904501638886372950529313802,0,-201860,10,1,0,1,-201910,-201810,1,138091754688,0,14288.0,20636,20637
13928909790689347186953168653322,0,-201790,10,1,0,1,-201840,-201740,1,58807558844,0,6106.0,20637,20637
13928905247754343922280763526154,0,-201850,10,0,0,1,-201900,-201800,1,10682020864,0,6.44866900886e11,20637,20637
13928913568582533482669339610122,0,-201740,10,1,0,1,-201790,-201690,1,34556608098,14223257794,2610.0,20637,20637
13928909781226167477140168674314,0,-201790,10,0,0,1,-201840,-201740,1,6748724016,0,4.06195880598e11,20637,20637
13928918102054357037528744758282,0,-201680,10,1,0,1,-201730,-201630,1,2027330674760,0,1115.0,20637,20637
13928909025647530217996934482954,0,-201800,10,0,0,1,-201850,-201750,1,6070565272,0,3.65561218089e11,20637,20637
13928917346475719778385510566922,0,-201690,10,1,0,1,-201740,-201640,1,1012068785974,0,333.0,20637,20637
13928913559119353772856339631114,0,-201740,10,0,0,1,-201790,-201690,1,5479451466,0,3.28976782603e11,20637,20637
13928921879947543333244915715082,0,-201630,10,1,0,1,-201680,-201580,1,59284881420,87508497813,99.0,20637,20637
13928908270068892958853700291594,0,-201810,10,0,0,1,-201860,-201760,1,9336963216,-4422718020,2.66463280321e11,20637,20637
13928916590897082519242276375562,0,-201700,10,1,0,1,-201750,-201650,1,1144753293604,205410520975,8.0,20637,20637
13928916590897082519242276375562,0,-201700,10,1,0,1,-201750,-201650,1,1144753293604,205410520975,8.0,20637,20637
13928911292383441995426637057034,0,-201770,10,0,0,1,-201820,-201720,1,5244789607,-1256361123,1.51085942602e11,20637,20637
13928918857632994296671978949642,0,-201670,10,1,0,1,-201720,-201620,1,19146998,0,2.0,20637,20637
