# epoch-blocks.csv — HOURLY epoch -> first Base block at or after epoch*3600
# RPC: https://mainnet.base.org   built: 2026-07-21
# epoch rule: Panel.Build.epochOfSeconds 3600 (single source of truth); boundary instant = epoch * 3600
# window blocks 43781657..48879461; columns: epoch, block_number, block_timestamp (unix seconds)
epoch,block_number,block_timestamp
492876,43782127,1774353601
492877,43783927,1774357201
492878,43785727,1774360801
492879,43787527,1774364401
492880,43789327,1774368001
492881,43791127,1774371601
492882,43792927,1774375201
492883,43794727,1774378801
492884,43796527,1774382401
492885,43798327,1774386001
492886,43800127,1774389601
492887,43801927,1774393201
492888,43803727,1774396801
492889,43805527,1774400401
492890,43807327,1774404001
492891,43809127,1774407601
492892,43810927,1774411201
492893,43812727,1774414801
492894,43814527,1774418401
492895,43816327,1774422001
492896,43818127,1774425601
492897,43819927,1774429201
492898,43821727,1774432801
492899,43823527,1774436401
492900,43825327,1774440001
492901,43827127,1774443601
492902,43828927,1774447201
492903,43830727,1774450801
492904,43832527,1774454401
492905,43834327,1774458001
492906,43836127,1774461601
492907,43837927,1774465201
492908,43839727,1774468801
492909,43841527,1774472401
492910,43843327,1774476001
492911,43845127,1774479601
492912,43846927,1774483201
492913,43848727,1774486801
492914,43850527,1774490401
492915,43852327,1774494001
492916,43854127,1774497601
492917,43855927,1774501201
492918,43857727,1774504801
492919,43859527,1774508401
492920,43861327,1774512001
492921,43863127,1774515601
492922,43864927,1774519201
492923,43866727,1774522801
492924,43868527,1774526401
492925,43870327,1774530001
492926,43872127,1774533601
492927,43873927,1774537201
492928,43875727,1774540801
492929,43877527,1774544401
492930,43879327,1774548001
492931,43881127,1774551601
492932,43882927,1774555201
492933,43884727,1774558801
492934,43886527,1774562401
492935,43888327,1774566001
492936,43890127,1774569601
492937,43891927,1774573201
492938,43893727,1774576801
492939,43895527,1774580401
492940,43897327,1774584001
492941,43899127,1774587601
492942,43900927,1774591201
492943,43902727,1774594801
492944,43904527,1774598401
492945,43906327,1774602001
492946,43908127,1774605601
492947,43909927,1774609201
492948,43911727,1774612801
492949,43913527,1774616401
492950,43915327,1774620001
