# FINAL ESTIMATION PANEL v2 — Panoptic upsilon identification (phase 10, plan 10-10).
# One row per POSITION-EPOCH (tokenId x hourly epoch) — the spec section-1 unit of
# observation, restored by plan 10-09. Supersedes estimation-panel.csv, which is the
# Phase-9 accrual-SPELL export and is retained unchanged.
# git commit: ddf649e
# LHS source : notes/structural-econometrcics/data/panel-epoch.csv
# RHS source : notes/structural-econometrcics/data/variance-hourly.csv (joined on epoch, exact integer match)
# tokenId  : account#tokenId (the tokenId clustering label; account = prefix before #)
# epoch    : hourly index floor(unixSeconds/3600) — the epoch the premium ACCRUED in
# pi       : premium accrued to the SHORT side over the epoch, ETH (a FLOW, not a stock)
# sigma2   : realized variance of the epoch, from the joined variance series
# sigma2_instrument : disjoint even-swap sub-window RV of the same epoch (EIV instrument)
# distance : moneyness d = |i_K - i_t| in ticks, i_t = the epoch's mean pool tick
tokenId,epoch,pi,sigma2,sigma2_instrument,distance
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493892,1.8875698e-11,5.969403054720011e-6,6.919308063427563e-6,89.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493893,8.17158724e-10,2.579742023647852e-6,3.969603036388358e-6,100.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493894,1.932545268e-9,1.2828717117597622e-5,1.7648235161776944e-5,140.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493895,7.1066841e-10,2.10978901933991e-6,2.929707026855893e-6,166.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493896,8.70690996e-10,3.729627034188563e-6,5.449455049953789e-6,169.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493897,5.09838744e-10,3.2396760296973028e-6,4.2595740390464515e-6,130.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493898,7.3114132e-10,4.26957303913811e-6,4.609539042254488e-6,150.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493899,4.13145418e-10,1.8998100174150845e-6,2.9797020273141856e-6,115.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493900,7.77298658e-10,3.3696630308888608e-6,5.659434051878616e-6,126.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493901,5.89000166e-10,4.089591037488253e-6,5.0694930464707715e-6,166.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493902,2.16836082e-10,9.299070085242258e-7,1.1898810109073419e-6,151.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493903,2.85903194e-10,1.0998900100824178e-6,1.5998400146653334e-6,126.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493904,6.62184846e-10,4.589541042071173e-6,7.009299064252489e-6,82.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493905,1.62470102e-9,1.2188781111731471e-5,1.7248275158110603e-5,3.0
