# FINAL ESTIMATION PANEL — Panoptic upsilon identification (phase 09, plan 09-09).
# One row per position ACCRUAL SPELL (mint -> burn), the unit of observation the
# live subgraph supports; see the analysis output for why it is not position-epoch.
# tokenId  : account#tokenId (the tokenId clustering label; account = prefix before #)
# epoch    : UTC-day index floor(unixSeconds/86400) of the spell's BURN
# pi       : premium accrued to the SHORT side, USD PER DAY over the spell
# sigma2   : realized variance, averaged over the spell's epoch window
# sigma2_instrument : disjoint even-swap sub-window RV, same averaging (EIV instrument)
# distance : moneyness d = |i_K - i_t| in ticks, i_t = spell-window mean pool tick
tokenId,epoch,pi,sigma2,sigma2_instrument,distance
0x557a1a07653a637d8e0c01074d9c33618c0956af#85987442074312111046374787509641907306580446218,20539,3.5226166682863075e-3,3.791920804758148e-4,4.395810415293832e-4,108.0
0x557a1a07653a637d8e0c01074d9c33618c0956af#305488671002481536027468369529866,20539,2.084624176929434e-3,5.197930202645445e-4,5.5208979056062e-4,107.0
0x557a1a07653a637d8e0c01074d9c33618c0956af#85987406349980496331175231772960871807994858506,20539,2.9966939749331628e-3,3.727127284164591e-4,4.7864213538743145e-4,2954.0
0xb452af299c565d04b05e601eff2840e000c922f1#85987421664016235768991544904585048092953840650,20566,3.4724532401694498e-6,2.941716936965529e-4,3.4905768653299127e-4,575.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#305488695927131832613455807417354,20578,1.082180417680608e-5,1.8360405323475162e-4,2.3017870607547043e-4,921.0
0xb452af299c565d04b05e601eff2840e000c922f1#305488797934970229080662068464650,20587,1.0747951822773782e-3,7.268073186623343e-5,9.646835308428319e-5,350.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#305488725394698685720041940880394,20587,1.1842991886948216e-5,1.59751204233606e-4,2.0258204931852182e-4,524.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#85987420383974868125161971211426355718277073930,20587,4.206202752119607e-6,7.326767317161569e-5,9.284821510109997e-5,1472.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,20587,3.76025738034893e-5,7.268073186623343e-5,9.646835308428319e-5,350.0
0xb452af299c565d04b05e601eff2840e000c922f1#85987421666674691760561367205659696474224102410,20587,1.553366248146201e-5,2.135824415778147e-4,2.5505429435796346e-4,755.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#85987421660028551781636802008240109781758020618,20587,2.4188762002264055e-5,2.135824415778147e-4,2.5505429435796346e-4,755.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928862940073023893129294023690,20622,5.122055401017198e-7,2.5396860292801215e-3,2.574058591995201e-3,760.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928862935350657410259648809994,20622,9.67499353769941e-7,2.5396860292801215e-3,2.574058591995201e-3,760.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928885602709775184556674550794,20622,8.442367047014314e-7,2.5396860292801215e-3,2.574058591995201e-3,460.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928930946891190442963726011402,20622,1.3746567184941991e-5,2.5396860292801215e-3,2.574058591995201e-3,140.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928953618972674700130396965898,20622,4.464962428314834e-6,2.5396860292801215e-3,2.574058591995201e-3,440.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928953614250308217260751752202,20622,8.433817920443606e-6,2.5396860292801215e-3,2.574058591995201e-3,440.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#305488578812443057446254507756554,20622,1.994530959492333e-3,1.8586778806625338e-3,1.7994619273073212e-3,578.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928921124368906074101681523722,20624,4.3220882949751185e-5,3.7033296639458487e-4,2.531146883201527e-4,228.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928921124368906074101681523722,20625,1.4830374209561074e-5,1.1393360654440595e-4,1.3936106377749092e-4,153.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928891647338873257702548081674,20627,3.401855060869422e-4,1.929307067685431e-4,2.528647133179207e-4,65.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928867473544847447988699171850,20627,4.737515680224027e-5,1.929307067685431e-4,2.528647133179207e-4,255.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928867468822480965119053958154,20627,8.948640729604389e-5,1.929307067685431e-4,2.528647133179207e-4,255.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928890136181598739416079698954,20627,5.043530781269267e-4,1.929307067685431e-4,2.528647133179207e-4,45.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928881069237951629697269402634,20627,2.424022005868641e-3,1.929307067685431e-4,2.528647133179207e-4,75.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928847828500278710264610196490,20629,2.4691522138332503e-4,6.81601839248005e-4,6.641169210876927e-4,279.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928847823777912227394964982794,20629,4.663954181697297e-4,6.81601839248005e-4,6.641169210876927e-4,279.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928870491137030001691990723594,20629,4.174998087987588e-4,6.81601839248005e-4,6.641169210876927e-4,21.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928819111789696379952065711114,20636,1.2365480774339325e-5,4.8659633996046944e-4,4.801782317766116e-4,388.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928864455971111638359117171722,20636,1.938771689020415e-5,4.8659633996046944e-4,4.801782317766116e-4,212.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928856890721559337113775279114,20636,6.8151298336328466e-6,3.1270872886634643e-4,3.7913208647518423e-4,358.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928865211549748897502351363082,20636,4.51910368105446e-6,3.1270872886634643e-4,3.7913208647518423e-4,248.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928877305530311526663743638538,20636,2.3120339141954177e-5,3.1270872886634643e-4,3.7913208647518423e-4,88.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928877300807945043794098424842,20636,4.367175171460036e-5,3.1270872886634643e-4,3.7913208647518423e-4,88.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928893158496147775989016464394,20636,2.0398839090662976e-4,3.1270872886634643e-4,3.7913208647518423e-4,122.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928901479324337336377592548362,20636,2.7293970778596486e-6,3.1270872886634643e-4,3.7913208647518423e-4,232.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928896945852513781518187400202,20636,3.7361425012587093e-6,3.1270872886634643e-4,3.7913208647518423e-4,172.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928893914074785035132250655754,20636,3.60421400219206e-5,3.1270872886634643e-4,3.7913208647518423e-4,132.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928902234902974595520826739722,20636,3.919554920776366e-7,3.1270872886634643e-4,3.7913208647518423e-4,242.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928894669653422294275484847114,20636,3.3390415110426494e-6,3.1270872886634643e-4,3.7913208647518423e-4,142.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928902234902974595520826739722,20636,1.877186502705599e-7,3.1270872886634643e-4,3.7913208647518423e-4,242.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928894669653422294275484847114,20636,3.727637699286859e-5,3.1270872886634643e-4,3.7913208647518423e-4,142.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928902990481611854664060931082,20636,3.452961004151616e-8,3.1270872886634643e-4,3.7913208647518423e-4,252.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928894669653422294275484847114,20636,2.347199200149934e-5,3.1270872886634643e-4,3.7913208647518423e-4,142.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928902990481611854664060931082,20636,2.7200282099990523e-9,3.1270872886634643e-4,3.7913208647518423e-4,252.0
0xb28c04c6e4f234225e62ac72111075ff77746558#13928896180810696812561953229834,20637,1.2320427436028992e-5,2.5527947183998003e-4,3.1487851188627706e-4,28.0
