# premium-accumulators.csv — SFPM getAccountPremium X64 accumulators, one row per scheduled read
# built: 2026-07-21   RPC: https://mainnet.base.org (failover https://base.drpc.org)
# SFPM: 0x8dcAa08cF298F8b4830FAf56d47930981AdE33af   vegoid: 8
# schedule rows: 8910   block range: 43781657..48157721
# accumulators and liquidity are DECIMAL Integer strings (they exceed 2^63; a Double round-trip would lose precision)
# columns: token_type,tick_lower,tick_upper,block,is_long,at_tick,acc0_x64,acc1_x64,net_liquidity,removed_liquidity,epoch,endpoint
token_type,tick_lower,tick_upper,block,is_long,at_tick,acc0_x64,acc1_x64,net_liquidity,removed_liquidity,epoch,endpoint
1,-201120,-198720,43782127,0,-199655,538394246004659175,291394680,379830078445,0,492876,
0,-200160,-197760,43782127,0,-199655,538394245986011989,277738782,398505615963,0,492876,
1,-201120,-198720,43783927,0,-199655,1892392342689388132,3059644147,379830078445,0,492877,
0,-200160,-197760,43783927,0,-199655,1892392342655508290,3055126603,398505615963,0,492877,
1,-201120,-198720,43785727,0,-199655,6561057600775964098,10538774286,379830078445,0,492878,
0,-200160,-197760,43785727,0,-199655,6561057600789945948,10554073720,398505615963,0,492878,
1,-201120,-198720,43787527,0,-199655,12003518037836570124,21757469494,379830078445,0,492879,
0,-200160,-197760,43787527,0,-199655,12003518037818998892,21756204598,398505615963,0,492879,
1,-201120,-198720,43789327,0,-199655,14644844727379165680,27488231549,379830078445,0,492880,
0,-200160,-197760,43789327,0,-199655,14644844727385770843,27496139429,398505615963,0,492880,
1,-201120,-198720,43791127,0,-199655,17195791178189025825,32053414880,379830078445,0,492881,
0,-200160,-197760,43791127,0,-199655,17195791178190849926,32078829333,398505615963,0,492881,
1,-201120,-198720,43792927,0,-199655,20490590260093077277,37298519134,379830078445,0,492882,
0,-200160,-197760,43792927,0,-199655,20490590260049124188,37309576397,398505615963,0,492882,
1,-201120,-198720,43794727,0,-199655,21766004870753773573,41038084203,379830078445,0,492883,
0,-200160,-197760,43794727,0,-199655,21766004870764739911,41012760158,398505615963,0,492883,
1,-201120,-198720,43796527,0,-199655,22954020812287070009,43174978528,379830078445,0,492884,
0,-200160,-197760,43796527,0,-199655,22954020812288490611,43188380618,398505615963,0,492884,
1,-201120,-198720,43798327,0,-199655,25485486462816579184,51916818951,379830078445,0,492885,
0,-200160,-197760,43798327,0,-199655,25485486462814997602,51937152254,398505615963,0,492885,
1,-201120,-198720,43800127,0,-199655,26489393601328949330,54005147496,379830078445,0,492886,
0,-200160,-197760,43800127,0,-199655,26489393601332164275,53973903323,398505615963,0,492886,
1,-201120,-198720,43801927,0,-199655,27721019327809595897,56482002282,379830078445,0,492887,
0,-200160,-197760,43801927,0,-199655,27721019327825908785,56473552362,398505615963,0,492887,
1,-201120,-198720,43803727,0,-199486,28528756781809009396,59298817529,379830078445,0,492888,
0,-200160,-197760,43803727,0,-199486,28528756781780107213,59297229980,398505615963,0,492888,
1,-201120,-198720,43805527,0,-199486,29815286532030649457,62601290578,379830078445,0,492889,
0,-200160,-197760,43805527,0,-199486,29815286532069648305,62630095366,398505615963,0,492889,
1,-201120,-198720,43807327,0,-199486,30988452333922630378,64641053343,379830078445,0,492890,
0,-200160,-197760,43807327,0,-199486,30988452333938088589,64620556638,398505615963,0,492890,
1,-201120,-198720,43809127,0,-199486,31638424682494238087,65855197846,379830078445,0,492891,
0,-200160,-197760,43809127,0,-199486,31638424682464929286,65870381157,398505615963,0,492891,
1,-201120,-198720,43810927,0,-199486,32159959039016061636,67360737030,379830078445,0,492892,
0,-200160,-197760,43810927,0,-199486,32159959039028310277,67351654662,398505615963,0,492892,
1,-201120,-198720,43812727,0,-199486,32615613718110169604,69011973554,379830078445,0,492893,
0,-200160,-197760,43812727,0,-199486,32615613718100541886,69018087354,398505615963,0,492893,
1,-201120,-198720,43814527,0,-199486,33717796893904915005,71683091460,379830078445,0,492894,
0,-200160,-197760,43814527,0,-199486,33717796893860190238,71702895581,398505615963,0,492894,
1,-201120,-198720,43816327,0,-199486,34385546940067862913,72654407063,379830078445,0,492895,
0,-200160,-197760,43816327,0,-199486,34385546940075240502,72674981319,398505615963,0,492895,
1,-201120,-198720,43818127,0,-199486,35419529741523822788,74985564509,379830078445,0,492896,
0,-200160,-197760,43818127,0,-199486,35419529741540215772,74989471170,398505615963,0,492896,
1,-201120,-198720,43819927,0,-199486,37180748883453629403,79987839861,379830078445,0,492897,
0,-200160,-197760,43819927,0,-199486,37180748883442741219,79988769248,398505615963,0,492897,
1,-201120,-198720,43821727,0,-199486,38010367785040109264,82853220889,379830078445,0,492898,
0,-200160,-197760,43821727,0,-199486,38010367785012911286,82858736663,398505615963,0,492898,
1,-201120,-198720,43823527,0,-199486,38671716829086654790,84213062732,379830078445,0,492899,
0,-200160,-197760,43823527,0,-199486,38671716829075330988,84247430573,398505615963,0,492899,
1,-201120,-198720,43825327,0,-199486,40263171849275673972,87612667341,379830078445,0,492900,
0,-200160,-197760,43825327,0,-199486,40263171849289454344,87626585756,398505615963,0,492900,
1,-201120,-198720,43827127,0,-199486,43322202950282764523,94169047657,379830078445,0,492901,
0,-200160,-197760,43827127,0,-199486,43322202950283425470,94153447135,398505615963,0,492901,
1,-201120,-198720,43828927,0,-199486,46094950535533893977,100239770173,379830078445,0,492902,
0,-200160,-197760,43828927,0,-199486,46094950535548014642,100263700342,398505615963,0,492902,
1,-201120,-198720,43830727,0,-199486,49406343082481592833,106407624248,379830078445,0,492903,
0,-200160,-197760,43830727,0,-199486,49406343082476734224,106420243345,398505615963,0,492903,
1,-201120,-198720,43832527,0,-199486,52260575433103115755,111555596941,379830078445,0,492904,
0,-200160,-197760,43832527,0,-199486,52260575433102915245,111558410814,398505615963,0,492904,
1,-201120,-198720,43834327,0,-199486,55184129694762965070,118986161300,379830078445,0,492905,
0,-200160,-197760,43834327,0,-199486,55184129694768365830,118964778337,398505615963,0,492905,
1,-201120,-198720,43836127,0,-199486,57205021867775743886,122337200128,379830078445,0,492906,
0,-200160,-197760,43836127,0,-199486,57205021867788301617,122343933520,398505615963,0,492906,
1,-201120,-198720,43837927,0,-199486,58350828741254002699,124619791794,379830078445,0,492907,
0,-200160,-197760,43837927,0,-199486,58350828741240466307,124612133574,398505615963,0,492907,
1,-201120,-198720,43839727,0,-199486,59233592278872986878,127485172821,379830078445,0,492908,
0,-200160,-197760,43839727,0,-199486,59233592278863181573,127528390786,398505615963,0,492908,
1,-201120,-198720,43841527,0,-199486,59848162124719738710,128359356864,379830078445,0,492909,
0,-200160,-197760,43841527,0,-199486,59848162124713506618,128361607132,398505615963,0,492909,
1,-201120,-198720,43843327,0,-199486,60384643442739143132,129184975126,379830078445,0,492910,
0,-200160,-197760,43843327,0,-199486,60384643442708393250,129148533681,398505615963,0,492910,
1,-201120,-198720,43845127,0,-199486,61687259849903092771,133070237535,379830078445,0,492911,
0,-200160,-197760,43845127,0,-199486,61687259849920770121,133083166428,398505615963,0,492911,
1,-201120,-198720,43846927,0,-199872,62435973169471476254,134187250478,379830078445,0,492912,
0,-200160,-197760,43846927,0,-199872,62435973169439261833,134194121556,398505615963,0,492912,
1,-201120,-198720,43848727,0,-199872,63344551516296007707,135789921222,379830078445,0,492913,
0,-200160,-197760,43848727,0,-199872,63344551516306705766,135767974655,398505615963,0,492913,
1,-201120,-198720,43850527,0,-199872,64062582104263136697,137344026186,379830078445,0,492914,
0,-200160,-197760,43850527,0,-199872,64062582104269722786,137341827754,398505615963,0,492914,
1,-201120,-198720,43852327,0,-199872,65370168208514447374,138558170689,379830078445,0,492915,
0,-200160,-197760,43852327,0,-199872,65370168208531032104,138545362476,398505615963,0,492915,
1,-201120,-198720,43854127,0,-199872,66068037760816082709,140452236114,379830078445,0,492916,
0,-200160,-197760,43854127,0,-199872,66068037760797398374,140443244154,398505615963,0,492916,
1,-201120,-198720,43855927,0,-199872,66481367035345684614,140986459695,379830078445,0,492917,
0,-200160,-197760,43855927,0,-199872,66481367035354380823,140952431921,398505615963,0,492917,
1,-201120,-198720,43857727,0,-199872,69833664113661286962,145017419446,379830078445,0,492918,
0,-200160,-197760,43857727,0,-199872,69833664113655887163,145025934059,398505615963,0,492918,
1,-201120,-198720,43859527,0,-199872,71035993348168200118,147931366253,379830078445,0,492919,
0,-200160,-197760,43859527,0,-199872,71035993348173388018,147942191271,398505615963,0,492919,
1,-201120,-198720,43861327,0,-199872,71848124160837511367,149825431678,379830078445,0,492920,
0,-200160,-197760,43861327,0,-199872,71848124160837530164,149793783152,398505615963,0,492920,
1,-201120,-198720,43863127,0,-199872,72891837718702404892,151622365542,379830078445,0,492921,
0,-200160,-197760,43863127,0,-199872,72891837718703219402,151599085235,398505615963,0,492921,
1,-201120,-198720,43864927,0,-199872,76840858523519790488,156236114654,379830078445,0,492922,
0,-200160,-197760,43864927,0,-199872,76840858523523521035,156228064937,398505615963,0,492922,
1,-201120,-198720,43866727,0,-199872,78150367820522511071,158470140540,379830078445,0,492923,
0,-200160,-197760,43866727,0,-199872,78150367820492154793,158449975194,398505615963,0,492923,
1,-201120,-198720,43868527,0,-199872,79817718116636729380,160898429546,379830078445,0,492924,
0,-200160,-197760,43868527,0,-199872,79817718116642185354,160903334436,398505615963,0,492924,
1,-201120,-198720,43870327,0,-199872,80580925105982841086,162986758091,379830078445,0,492925,
0,-200160,-197760,43870327,0,-199872,80580925106004702338,162986375302,398505615963,0,492925,
1,-201120,-198720,43872127,0,-199872,83857327334003741300,170514454010,379830078445,0,492926,
0,-200160,-197760,43872127,0,-199872,83857327334004985060,170531612216,398505615963,0,492926,
1,-201120,-198720,43873927,0,-199872,86992625849528693446,176682308086,379830078445,0,492927,
