token_id,is_long,leg_count,leg_count_truth,recon_wei,truth_wei,rel_error,signed_error_wei,flags
13928819111789696379952065711114,0,1,1,48636641935,48636641935,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928847823777912227394964982794,0,1,1,718056392186,718056392185,1.392648280669e-12,1,ChunkEmpty;Extrapolated
13928847828500278710264610196490,1,1,1,-380147501744,-380147501744,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928856890721559337113775279114,0,1,1,1499290138,1499290138,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928862935350657410259648809994,0,1,1,2198627894,2198627894,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928862940073023893129294023690,1,1,1,-1163979473,-1163979473,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928864455971111638359117171722,0,1,1,76256917263,76256917263,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928865211549748897502351363082,0,1,1,994177330,994177330,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928867468822480965119053958154,0,1,1,13604763017,13604763017,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928867473544847447988699171850,1,1,1,-7202521597,-7202521597,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928870491137030001691990723594,0,1,1,642777340353,642777340353,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928877300807945043794098424842,0,1,1,9607539145,9607539145,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928877305530311526663743638538,1,1,1,-5086344253,-5086344253,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928881069237951629697269402634,0,1,1,7151835272,7151835272,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928885602709775184556674550794,0,1,1,1918515357,1918515357,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928890136181598739416079698954,0,1,1,76677612971,76677612971,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928891647338873257702548081674,0,1,1,43263719609,43263719609,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928893158496147775989016464394,0,1,1,2150673791,2150673791,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928893914074785035132250655754,0,1,1,894899682,894899682,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928894669653422294275484847114,0,1,1,82843884,82843884,0.000000000000e0,0,Extrapolated
13928894669653422294275484847114,0,1,1,919360486,919360486,0.000000000000e0,0,Extrapolated
13928894669653422294275484847114,0,1,1,587950043,587950043,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928896180810696812561953229834,0,1,1,3363459397,3363459397,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928896945852513781518187400202,0,1,1,60288162,60288162,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928901479324337336377592548362,0,1,1,28776357,28776357,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928902234902974595520826739722,0,1,1,9731965,9731965,0.000000000000e0,0,Extrapolated
13928902234902974595520826739722,0,1,1,4657427,4657427,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928902990481611854664060931082,0,1,1,851616,851616,0.000000000000e0,0,Extrapolated
13928902990481611854664060931082,0,1,1,68134,68134,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928904501638886372950529313802,0,1,1,23025484918,23025484918,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928905247754343922280763526154,0,1,1,57146686,57146686,0.000000000000e0,0,ChunkEmpty;Extrapolated
13928908270068892958853700291594,0,1,1,49044577,49044577,0.000000000000e0,0,Extrapolated
