# Base V4 Swap ticks cache (poolId 0x96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a)
# columns: timestamp_unix,tick  (decoded from V4 Swap log data word 4)
timestamp_unix,tick
1784325677,-201140
1784325679,-201138
1784325679,-201135
1784325689,-201134
1784325785,-201135
1784325795,-201136
1784325805,-201137
1784325809,-201139
1784325809,-201139
1784325811,-201143
1784325843,-201143
1784325903,-201146
1784326055,-201146
1784326113,-201146
1784326117,-201146
1784326169,-201146
1784326183,-201145
1784326291,-201145
1784326323,-201144
1784326325,-201143
1784326343,-201143
1784326351,-201143
1784326393,-201143
1784326397,-201143
1784326439,-201133
1784326441,-201132
1784326441,-201132
1784326441,-201133
1784326445,-201133
1784326449,-201134
1784326453,-201116
1784326453,-201132
1784326453,-201133
1784326457,-201133
1784326457,-201134
1784326457,-201135
1784326461,-201135
1784326463,-201135
1784326469,-201135
1784326501,-201136
1784326503,-201137
1784326545,-201138
1784326549,-201140
1784326551,-201140
1784326561,-201141
1784326565,-201143
1784326573,-201145
1784326577,-201146
1784326601,-201147
1784326631,-201151
1784326643,-201152
1784326667,-201154
1784326791,-201153
1784326869,-201152
1784326901,-201152
1784326945,-201152
1784326967,-201150
1784327161,-201150
1784327177,-201150
1784327189,-201151
1784327193,-201152
1784327193,-201152
1784327197,-201157
1784327197,-201159
1784327409,-201158
1784327415,-201157
1784327415,-201157
1784327459,-201156
1784327483,-201155
1784327517,-201155
1784327589,-201155
1784327651,-201155
1784327655,-201155
1784327693,-201155
1784327719,-201156
1784327735,-201156
1784327815,-201156
1784328059,-201156
1784328071,-201156
1784328131,-201156
1784328133,-201155
1784328237,-201156
1784328251,-201156
1784328251,-201156
1784328295,-201156
1784328455,-201156
1784328459,-201155
1784328461,-201155
1784328463,-201155
1784328493,-201155
1784328501,-201155
1784328503,-201156
1784328513,-201156
1784328537,-201156
1784328543,-201157
1784328547,-201158
1784328551,-201158
1784328553,-201159
1784328559,-201159
1784328567,-201159
1784328587,-201155
1784328605,-201145
1784328605,-201152
1784328609,-201152
1784328613,-201152
1784328665,-201154
1784328665,-201155
1784328671,-201155
1784328673,-201155
1784328691,-201155
1784328691,-201155
1784328693,-201159
1784328693,-201158
1784328701,-201157
1784328703,-201157
1784328705,-201157
1784328705,-201156
1784328725,-201158
1784328727,-201159
1784328727,-201158
1784328731,-201158
1784328731,-201159
1784328731,-201157
1784328731,-201157
1784328739,-201156
1784328739,-201157
1784328751,-201156
1784328787,-201152
1784328793,-201153
1784328795,-201153
1784328813,-201153
1784328815,-201153
1784328859,-201153
1784328873,-201146
1784328873,-201149
1784328877,-201149
1784328881,-201157
1784328883,-201156
1784328887,-201156
1784328895,-201150
1784328943,-201150
1784328951,-201143
1784328951,-201147
1784328951,-201146
1784328957,-201146
1784328961,-201153
1784328961,-201154
1784328985,-201155
1784328989,-201148
1784328991,-201144
1784328991,-201146
1784328995,-201148
1784328995,-201148
1784328997,-201149
1784328999,-201149
1784328999,-201150
1784329005,-201152
1784329053,-201157
1784329053,-201156
1784329053,-201156
1784329055,-201156
1784329055,-201155
1784329057,-201155
1784329059,-201154
1784329059,-201154
1784329077,-201151
1784329079,-201148
1784329097,-201148
1784329125,-201149
1784329151,-201150
1784329151,-201165
1784329151,-201158
1784329151,-201158
1784329151,-201157
1784329151,-201157
1784329151,-201157
1784329157,-201156
1784329165,-201156
1784329173,-201155
1784329181,-201156
1784329181,-201157
1784329187,-201151
1784329221,-201154
1784329229,-201152
1784329233,-201151
1784329237,-201155
1784329241,-201155
1784329245,-201155
1784329257,-201156
1784329257,-201160
1784329259,-201164
1784329259,-201163
1784329265,-201163
1784329267,-201163
1784329267,-201163
1784329269,-201162
1784329269,-201162
1784329281,-201161
1784329281,-201160
1784329283,-201159
1784329287,-201156
1784329291,-201154
1784329315,-201154
1784329317,-201155
1784329319,-201156
1784329321,-201157
1784329333,-201158
1784329333,-201158
1784329335,-201159
1784329345,-201160
1784329349,-201161
1784329351,-201161
1784329355,-201162
1784329397,-201164
1784329397,-201166
1784329399,-201169
1784329399,-201168
1784329405,-201168
1784329409,-201167
1784329417,-201172
1784329419,-201169
1784329419,-201168
1784329429,-201168
