# Panoptic υ variance regressor σ̂²_t, EIV instrument σ̃²_t, pool tick i_t (CTX-VAR)
# EPOCH WIDTH: 3600 seconds (1.0 hour(s)).
#   epoch = floor(unixSeconds / 3600) via
#   Panel.Build.epochOfSeconds — the SAME single source of truth as
#   Panel.Build.dailyEpoch (which is epochOfSeconds 86400). The panel and
#   this series therefore share an exact INTEGER epoch key; the join is an
#   integer match and never a timestamp comparison or an offset adjustment
#   (the 09-05 40587-offset trap).
# σ̂²_t (sigma2)            = realized variance of the within-epoch V4
#   tick-implied log-price increments over the FULL within-epoch Swap series.
# σ̃²_t (sigma2_instrument) = the SAME estimator on the DISJOINT even-swap
#   sub-window (0-based even positions) — the two-noisy-measures IV.
# i_t (pool_tick_mean)     = mean underlying pool tick over the same epoch,
#   from the SAME Swap series (the panel's moneyness anchor).
# n_swaps                  = swaps in the epoch. σ̂² rests on n_swaps − 1
#   increments; a row with n_swaps <= 1 is a CONSTRUCTED zero, not a
#   measured one, and must not be read as a quiet market.
# Source: Uniswap V4 PoolManager Swap logs on Base via chunked eth_getLogs
#   (poolId 0x96d4…288c0a); BigQuery path retired (project suspended).
epoch,sigma2,sigma2_instrument,pool_tick_mean,n_swaps
492875,1.9998000183316665e-6,3.2396760296973007e-6,-199509.9,40
492876,1.4538546133271202e-5,1.3158684120622362e-5,-199524.63580246913,162
492877,3.067693228120275e-5,4.2335766388072904e-5,-199615.55791962176,423
492878,4.562543741820148e-5,6.186381356703255e-5,-199664.9867256637,452
492879,1.8588141170387848e-5,2.8947105265341625e-5,-199646.16245487364,277
492880,1.6348365149857078e-5,2.3537646215756577e-5,-199678.265625,320
492881,2.4037596220346586e-5,3.341665830632213e-5,-199761.65203761755,319
492882,9.589041087900324e-6,1.3188681120897339e-5,-199748.1069767442,215
492883,6.219378057011476e-6,8.339166076443045e-6,-199727.94054054053,185
492884,2.55174482339085e-5,3.873612635507801e-5,-199629.12025316455,316
492885,5.599440051328661e-6,8.199180075159828e-6,-199608.52447552446,143
492886,8.799120080659324e-6,1.3438656123188798e-5,-199603.17605633804,142
492887,7.889211072318412e-6,1.0728927098349386e-5,-199566.89705882352,136
492888,1.0988901100732497e-5,1.5468453141795434e-5,-199553.58,200
492889,5.679432052061926e-6,8.059194073876607e-6,-199538.9945054945,182
492890,2.619738024014485e-6,3.6296370332719763e-6,-199554.26119402985,134
492891,5.049495046287455e-6,8.229177075434804e-6,-199580.16438356164,73
492892,3.889611035655094e-6,5.929407054353389e-6,-199538.9247311828,93
492893,1.1178882102474017e-5,1.5838416145186798e-5,-199488.59130434782,115
492894,4.809519044087658e-6,7.71922807076023e-6,-199506.5918367347,98
492895,8.459154077542945e-6,1.2058794110539952e-5,-199503.61904761905,147
492896,2.7657234253526915e-5,2.18578142003651e-5,-199455.62015503875,258
492897,9.049095082950788e-6,9.199080084325662e-6,-199447.26623376625,154
492898,3.469653031805444e-6,4.709529043171074e-6,-199426.24705882353,170
492899,1.0398960095324656e-5,1.3538646124105386e-5,-199409.5221238938,226
492900,2.3977602219796662e-5,3.541645832465381e-5,-199461.35331230285,317
492901,2.0297970186066415e-5,3.185681429202345e-5,-199412.88257575757,264
492902,2.008799118414156e-5,3.141685828799047e-5,-199448.22903225807,310
492903,1.868813117130941e-5,2.776722325453519e-5,-199534.40268456377,298
492904,2.4297570222729733e-5,3.541645832465383e-5,-199488.29936305733,314
492905,1.312868712034738e-5,1.7748225162693537e-5,-199505.4423076923,208
492906,6.589341060402833e-6,9.659034088541943e-6,-199510.26744186046,172
492907,7.009299064252481e-6,1.1328867103848886e-5,-199499.38461538462,143
492908,4.159584038129866e-6,6.0493950554532876e-6,-199518.48305084746,118
492909,2.0897910191565923e-6,2.8497150261226255e-6,-199515.60204081633,98
492910,1.2728727116681053e-5,1.820817916690982e-5,-199491.4678362573,171
492911,4.099590037579915e-6,4.13958603794655e-6,-199487.65573770492,122
492912,3.5496450325387097e-6,5.1294870470207226e-6,-199510.77300613496,163
492913,4.179582038313184e-6,6.199380056828162e-6,-199519.5603448276,116
492914,5.729427052520219e-6,8.449155077451287e-6,-199571.7869822485,169
492915,4.049595037121622e-6,6.089391055819921e-6,-199590.77697841727,139
492916,1.1898810109073419e-6,1.489851013657092e-6,-199586.05263157896,95
492917,5.285471448445987e-5,6.267373257444266e-5,-199680.51612903227,248
492918,6.809319062419306e-6,9.849015090283447e-6,-199731.03902439025,205
492919,4.359564039963029e-6,7.259274066543943e-6,-199731.3023255814,172
492920,5.139486047112381e-6,7.499250068743743e-6,-199735.26744186046,172
492921,5.158484147286545e-5,2.5787421236386815e-5,-199823.74647887325,284
492922,9.1390860837757e-6,9.539046087442039e-6,-199927.1978021978,182
492923,8.219178075343126e-6,1.009899009257491e-5,-199962.75229357797,218
492924,4.289571039321422e-6,6.839316062694295e-6,-199965.5243902439,164
492925,2.7167283249035672e-5,4.0265973369108115e-5,-199908.34504792333,313
492926,2.1037896192849117e-5,2.7927207256001714e-5,-199932.94753086418,324
492927,1.8708129171465012e-5,2.7007299247525787e-5,-199989.0102739726,292
492928,9.319068085417026e-6,1.3478652123544059e-5,-199989.1813186813,182
492929,1.4548545133354343e-5,1.320867912106716e-5,-200018.5989010989,182
492930,2.0547945188357847e-5,2.870712926315106e-5,-200095.8827586207,290
492931,7.789221071401834e-6,1.1628837106598643e-5,-200089.2774566474,173
492932,3.572242772742463e-4,2.991500847419482e-4,-199978.1755319149,376
492933,8.799120080658612e-6,1.1558844105955611e-5,-199974.87234042553,141
492934,1.4938506136924757e-5,2.3057694211342796e-5,-199998.52631578947,171
492935,5.069493046469351e-6,8.409159077082524e-6,-200008.0,135
492936,8.229177075419166e-6,1.098890110071261e-5,-200008.88717948718,195
492937,6.079392055726839e-6,1.0738926098436785e-5,-199974.83229813664,161
492938,3.6496350334552943e-6,5.549445050870372e-6,-199955.8917197452,157
492939,4.98950104573466e-6,7.079292064887706e-6,-200007.37903225806,124
492940,1.3308669121997227e-5,1.716828315737735e-5,-200071.42953020133,149
492941,5.449455049949525e-6,8.67913207955374e-6,-200022.70945945947,148
492942,2.6297370241025906e-6,3.6796320337231624e-6,-200002.84426229508,122
492943,7.609239069742737e-6,1.2168783111533976e-5,-199983.58706467663,201
492944,1.915808417561237e-5,3.0126987276160858e-5,-200053.9514925373,268
492945,9.62903708826695e-6,1.466853313446277e-5,-200092.29126213593,206
492946,1.0751924798558282e-4,9.421057886358351e-5,-200208.25159235668,314
492947,3.2856714301189295e-5,2.9557044270941996e-5,-200349.66666666666,216
492948,9.699030088908576e-6,1.3118688120255731e-5,-200371.61611374406,211
492949,1.4238576130521452e-5,1.8818118172500968e-5,-200379.3347280335,239
492950,2.6347365241519646e-5,3.8226177350409806e-5,-200409.2119402985,335
492951,4.118588137750166e-5,5.478452150212212e-5,-200340.09620991253,343
492952,1.2088791110814904e-5,1.9068093174792434e-5,-200385.39852398523,271
492953,1.2038796110356617e-5,1.7618238161501974e-5,-200391.52380952382,210
492954,8.81911808084264e-6,1.4178582129971516e-5,-200410.912371134,194
492955,1.149885010540708e-5,1.5898410145736742e-5,-200371.43352601156,173
492956,7.319268067093892e-6,9.619038088175316e-6,-200379.9898989899,99
492957,2.199780020164834e-6,3.0396960278641337e-6,-200375.9193548387,124
492958,1.3198680120989005e-6,1.6998300155819169e-6,-200393.7741935484,93
492959,2.859714026214284e-6,4.819518044179316e-6,-200382.4024390244,82
492960,1.1598840106323668e-6,1.5198480139320666e-6,-200353.82417582418,91
492961,2.5697430235561932e-6,3.78962103473851e-6,-200375.08661417323,127
492962,1.7598240161318669e-6,2.2997700210814168e-6,-200377.4096385542,83
492963,3.2996700302472486e-7,3.999600036663333e-7,-200373.4642857143,56
492964,7.59924006966034e-7,9.799020089825171e-7,-200363.87692307692,65
492965,6.399360058661335e-7,8.499150077909585e-7,-200358.79411764705,68
492966,5.479452050222364e-6,7.879212072217524e-6,-200311.71074380164,121
492967,7.09929006507742e-7,8.699130079742752e-7,-200294.82352941178,51
492968,9.399060086158835e-7,1.1198880102657335e-6,-200294.42253521126,71
492969,6.299370057728406e-6,6.719328061576636e-6,-200326.5465116279,86
492970,4.26957303913242e-6,5.7094290523262464e-6,-200327.06666666668,105
492971,5.699430052202619e-7,6.699330061361347e-7,-200327.93103448275,58
492972,4.439556040687773e-6,6.819318062497477e-6,-200325.10447761195,134
492973,9.497050287057069e-5,1.1978802109806681e-4,-200211.22393822393,259
492974,9.789021089733503e-6,1.3138686120439047e-5,-200198.52608695652,230
492975,1.8118188166084888e-5,2.664733524426944e-5,-200174.96703296702,182
492976,6.939306063610875e-6,4.999500045829164e-6,-200182.41414141413,99
492977,3.1396860287807186e-6,4.49955004124625e-6,-200208.34782608695,92
492978,5.399460049495501e-7,7.399260067827169e-7,-200205.22448979592,49
492979,5.799420053161836e-7,7.799220071493503e-7,-200216.84615384616,39
492980,5.639436051695295e-6,2.0397960186983e-6,-200198.50847457626,59
492981,9.719028089091899e-6,8.139186074609882e-6,-200229.1724137931,87
492982,3.0296970277724757e-6,5.029497046104142e-6,-200269.45833333334,96
492983,1.0718928098244219e-5,1.2078792110712607e-5,-200325.53092783506,194
492984,2.9097090266725765e-6,4.209579038588158e-6,-200338.4563106796,103
492985,5.059494046376979e-6,6.199380056824606e-6,-200300.2105263158,114
492986,2.0097990184233257e-6,3.1296870286890586e-6,-200285.66666666666,84
492987,5.109489046837395e-6,7.099290065077411e-6,-200248.81578947368,114
492988,1.6698330153069415e-6,2.6297370241061417e-6,-200276.52459016393,61
492989,3.7496250343640607e-6,5.979402054801734e-6,-200305.75,92
492990,1.9298070176900588e-6,2.5597440234645344e-6,-200294.3023255814,86
492991,6.646335360925283e-5,4.689531042987759e-6,-200296.05825242717,103
492992,7.299270066910587e-7,7.899210072410086e-7,-200292.8431372549,51
492993,3.0596940280410553e-6,3.999600036651254e-6,-200311.0823529412,85
492994,1.3898610127405087e-6,2.1797820199815168e-6,-200340.41463414635,82
492995,3.1196880285952703e-6,4.719528043256336e-6,-200299.22314049586,121
492996,1.4298570131021681e-6,1.889811017317741e-6,-200308.5294117647,102
492997,1.009899009257206e-5,1.1938806109435779e-5,-200359.96319018406,163
492998,2.459754022546953e-5,1.4328567131332882e-5,-200355.46907216494,194
492999,8.159184074793181e-6,1.4138586129604874e-5,-200353.0823529412,170
493000,4.609539042248804e-6,5.5394460507701866e-6,-200327.94339622642,106
493001,3.79962003483017e-6,5.2394760480289684e-6,-200346.54761904763,126
493002,3.389661031067914e-6,4.969503045549927e-6,-200338.29,100
493003,2.121787819449683e-5,2.2997700210809887e-5,-200330.9090909091,77
493004,6.249375057284323e-6,7.509249068833274e-6,-200303.83333333334,72
493005,1.0598940097157833e-6,1.4598540133821162e-6,-200298.29508196723,61
493006,3.3873612610510587e-4,1.5733426644224028e-4,-200419.9376693767,369
493007,3.915608435893399e-5,5.0774922465440994e-5,-200393.10994764397,382
493008,7.248275166438288e-5,8.621137879023128e-5,-200304.33039647577,454
493009,1.669833015306868e-5,2.6237376240510738e-5,-200283.836,250
493010,3.0356964278274652e-5,4.360563939972199e-5,-200198.70535714287,336
493011,6.129387056186551e-6,8.589141078734504e-6,-200145.79674796748,123
493012,1.2018798110173308e-5,1.741825815966881e-5,-200094.1935483871,155
493013,1.3708629125663566e-5,1.8898110173234245e-5,-200055.8896103896,154
493014,3.539646032447053e-6,5.149485047204041e-6,-200089.05454545454,110
493015,1.7928207164338403e-5,2.7787221254714233e-5,-200060.62702702702,185
493016,1.3248675121435913e-5,1.7748225162670078e-5,-199998.88516746412,209
493017,4.80951904408765e-6,6.309369057836404e-6,-200030.4842105263,95
493018,2.4997500229145855e-6,3.5196480322637346e-6,-200052.46762589927,139
493019,2.900709926588583e-5,4.01059893676267e-5,-199983.82911392406,316
493020,7.919208072593384e-6,8.699130079742748e-6,-199956.914893617,188
493021,2.6607339243900618e-5,3.142685728807715e-5,-199960.71755725192,393
493022,2.8037196257001267e-5,4.115588437724864e-5,-200029.72544080604,397
493023,1.4188581130057487e-5,2.063793618917356e-5,-199963.65298507462,268
493024,7.89921007239658e-6,1.0818918099155845e-5,-199992.06310679612,206
493025,1.74982501603985e-5,2.519748023097401e-5,-200074.12014134275,283
493026,1.4438556132354616e-5,1.7238276158018965e-5,-200137.8924731183,279
493027,9.769023089550192e-6,1.5388461141062174e-5,-200216.2142857143,224
493028,3.4096590312554955e-6,5.469453050137107e-6,-200196.47407407407,135
493029,1.6688331152977727e-5,2.120787919440731e-5,-200122.11055276383,199
493030,1.8998100174150808e-5,1.839816016865133e-5,-200139.6779661017,177
493031,1.84481551691096e-5,1.8178182166634846e-5,-200209.8924050633,158
493032,1.6458354150869598e-5,2.575742423611187e-5,-200182.033557047,298
493033,3.998600136653383e-5,5.605439451383024e-5,-199982.68237704918,488
493034,1.606839314729491e-5,2.181781819999846e-5,-199945.21296296295,216
493035,5.089491046644853e-6,8.259174075695575e-6,-199978.41025641025,156
493036,2.0507949187978445e-5,2.4327567222989094e-5,-200000.7870967742,155
493037,7.469253068460953e-6,1.0408959095400693e-5,-200011.6611570248,121
493038,3.07969202823077e-6,4.059594037213285e-6,-200024.21359223302,103
493039,9.379062085975508e-6,1.5198480139320668e-5,-200060.84242424244,165
493040,1.0538946096607881e-5,1.611838814775323e-5,-200076.67875647667,193
493041,2.0297970186066385e-5,2.9837016273508426e-5,-200175.64459930314,287
493042,5.289471048487254e-6,8.249175075618125e-6,-200196.75539568346,139
