# Panoptic υ variance regressor σ̂²_t, EIV instrument σ̃²_t, pool tick i_t (CTX-VAR)
# σ̂²_t (sigma2)            = daily realized variance of within-day V4
#   tick-implied log-price increments over the FULL within-day Swap series.
# σ̃²_t (sigma2_instrument) = the SAME estimator on the DISJOINT even-swap
#   intraday sub-window (0-based even positions) — the two-noisy-measures IV.
# i_t (pool_tick_mean)     = mean underlying pool tick over the same day,
#   from the SAME Swap series (the panel's moneyness anchor).
# epoch = UTC-day index floor(unixSeconds/86400) (same boundary as the panel).
# Source: Uniswap V4 PoolManager Swap logs on Base via chunked eth_getLogs
#   (poolId 0x96d4…288c0a); BigQuery path retired (project suspended).
epoch,sigma2,sigma2_instrument,pool_tick_mean
20536,2.1575842397775674e-4,2.953304667071361e-4,-199654.7677316294
20537,2.6142385739641336e-4,3.5881411828915684e-4,-199486.4763968073
20538,6.668733121126299e-4,6.255374457338084e-4,-199872.17183041174
20539,3.727127284164591e-4,4.7864213538743145e-4,-200233.60798274
20540,1.9335066477234824e-4,2.4184581521688925e-4,-200274.7450039968
20541,5.599140081325497e-4,4.410658930430608e-4,-200341.22133863484
20542,4.081291867410997e-4,5.461753820065115e-4,-200098.72354132155
20543,5.558644130953797e-4,7.611638829772706e-4,-199970.05994218774
20544,9.915608430892601e-4,8.264173575753529e-4,-199692.66965136217
20545,3.973702626424601e-4,5.367563239201523e-4,-199987.21691106455
20546,1.0235976393828252e-4,1.4269573030802236e-4,-200038.88508988367
20547,6.229377057101799e-5,6.261373857394319e-5,-200027.04508956146
20548,1.3839616026861237e-4,1.8910108973337948e-4,-200019.09326599326
20549,2.659434054377447e-4,3.8360163951625334e-4,-199644.80143319463
20550,4.415858410478731e-4,6.113488646040193e-4,-199686.58857747223
20551,2.6465353442598464e-4,3.4954504520412385e-4,-199221.08443215652
20552,4.4917508211745304e-4,3.3644635508409235e-4,-199386.43681613388
20553,2.1113888593542375e-4,2.659734024380717e-4,-199260.12357043236
20554,2.043695628733817e-4,2.285071490946477e-4,-199053.89355168885
20555,2.2960703910470884e-4,2.9962003774646465e-4,-199306.49509803922
20556,4.4978502112299936e-4,5.568743121046474e-4,-199167.2539154268
20557,2.759224075293e-4,3.5553444625906715e-4,-198661.3346131695
20558,1.7216278357815541e-4,2.3287671213470174e-4,-198741.31478800415
20559,2.0819917990845017e-4,2.70852914482753e-4,-198748.59899749374
20560,2.9072092766488383e-4,4.0765923373676567e-4,-198491.9741622299
20561,1.3203679621030847e-4,1.6985301455694896e-4,-198592.9241798299
20562,2.2170782903231388e-4,2.713028694869195e-4,-198855.31201366484
20563,2.256374360683474e-4,2.945305466998578e-4,-198885.84611194333
20564,1.498150183733199e-4,2.0168983084884625e-4,-198856.8233116303
20565,1.8783121672181366e-4,2.4026597320246204e-4,-198539.43835810333
20566,1.5310468940345743e-4,2.0023997583553963e-4,-198758.97367647057
20567,7.465253468432197e-5,1.0111988792693955e-4,-198831.11892003298
20568,1.619838014848637e-5,1.9798020181483382e-5,-198846.86922320552
